,Arms Category,Year,Value
647,Total,2003,18963.0
648,Aircraft,2004,10562.0
649,Air defence systems,2004,516.0
650,Armoured vehicles,2004,2038.0
651,Artillery,2004,424.0
652,Engines,2004,835.0
653,Missiles,2004,2275.0
654,Naval weapons,2004,330.0
655,Other,2004,199.0
656,Satellites,2004,0.0
657,Sensors,2004,1244.0
658,Ships,2004,2757.0
659,Total,2004,21181.0
660,Aircraft,2005,8111.0
661,Air defence systems,2005,871.0
662,Armoured vehicles,2005,2049.0
663,Artillery,2005,460.0
664,Engines,2005,720.0
665,Missiles,2005,2383.0
666,Naval weapons,2005,262.0
667,Other,2005,124.0
668,Satellites,2005,50.0
669,Sensors,2005,1214.0
670,Ships,2005,5050.0
671,Total,2005,21294.0
672,Aircraft,2006,9473.0
673,Air defence systems,2006,935.0
674,Armoured vehicles,2006,3112.0
675,Artillery,2006,497.0
676,Engines,2006,609.0
677,Missiles,2006,3025.0
678,Naval weapons,2006,230.0
679,Other,2006,146.0
680,Satellites,2006,0.0
681,Sensors,2006,1385.0
682,Ships,2006,4963.0
683,Total,2006,24377.0
684,Aircraft,2007,11666.0
685,Air defence systems,2007,925.0
686,Armoured vehicles,2007,3723.0
687,Artillery,2007,593.0
688,Engines,2007,749.0
689,Missiles,2007,2948.0
690,Naval weapons,2007,175.0
691,Other,2007,199.0
692,Satellites,2007,0.0
693,Sensors,2007,1455.0
694,Ships,2007,4089.0
695,Total,2007,26522.0
696,Aircraft,2008,9557.0
697,Air defence systems,2008,1546.0
698,Armoured vehicles,2008,3288.0
699,Artillery,2008,556.0
700,Engines,2008,950.0
701,Missiles,2008,3198.0
702,Naval weapons,2008,214.0
703,Other,2008,237.0
704,Satellites,2008,0.0
705,Sensors,2008,1288.0
706,Ships,2008,3290.0
707,Total,2008,24123.0
708,Aircraft,2009,9931.0
709,Air defence systems,2009,1466.0
710,Armoured vehicles,2009,3437.0
711,Artillery,2009,589.0
712,Engines,2009,911.0
713,Missiles,2009,3011.0
714,Naval weapons,2009,114.0
715,Other,2009,234.0
716,Satellites,2009,0.0
717,Sensors,2009,1108.0
718,Ships,2009,3562.0
719,Total,2009,24365.0
720,Aircraft,2010,11899.0
721,Air defence systems,2010,1301.0
722,Armoured vehicles,2010,3887.0
723,Artillery,2010,755.0
724,Engines,2010,1053.0
725,Missiles,2010,2696.0
726,Naval weapons,2010,162.0
727,Other,2010,328.0
728,Satellites,2010,0.0
729,Sensors,2010,1214.0
730,Ships,2010,2427.0
731,Total,2010,25724.0
732,Aircraft,2011,15311.0
733,Air defence systems,2011,1285.0
734,Armoured vehicles,2011,3539.0
735,Artillery,2011,698.0
736,Engines,2011,1071.0
737,Missiles,2011,2979.0
738,Naval weapons,2011,127.0
739,Other,2011,283.0
740,Satellites,2011,0.0
741,Sensors,2011,1469.0
742,Ships,2011,3138.0
743,Total,2011,29901.0
744,Aircraft,2012,11703.0
745,Air defence systems,2012,1143.0
746,Armoured vehicles,2012,3634.0
747,Artillery,2012,613.0
748,Engines,2012,1286.0
749,Missiles,2012,3315.0
750,Naval weapons,2012,218.0
751,Other,2012,296.0
752,Satellites,2012,0.0
753,Sensors,2012,1597.0
754,Ships,2012,4005.0
755,Total,2012,27809.0
756,Aircraft,2013,10635.0
757,Air defence systems,2013,1608.0
758,Armoured vehicles,2013,2812.0
759,Artillery,2013,438.0
760,Engines,2013,1398.0
761,Missiles,2013,4018.0
762,Naval weapons,2013,207.0
763,Other,2013,236.0
764,Satellites,2013,0.0
765,Sensors,2013,1781.0
766,Ships,2013,4116.0
767,Total,2013,27247.0
768,Aircraft,2014,11470.0
769,Air defence systems,2014,1255.0
770,Armoured vehicles,2014,2951.0
771,Artillery,2014,267.0
772,Engines,2014,1413.0
773,Missiles,2014,3188.0
774,Naval weapons,2014,287.0
775,Other,2014,163.0
776,Satellites,2014,100.0
777,Sensors,2014,1677.0
778,Ships,2014,4425.0
779,Total,2014,27195.0
780,Aircraft,2015,12846.0
781,Air defence systems,2015,1902.0
782,Armoured vehicles,2015,2706.0
783,Artillery,2015,300.0
784,Engines,2015,1515.0
785,Missiles,2015,3143.0
786,Naval weapons,2015,182.0
787,Other,2015,200.0
788,Satellites,2015,0.0
789,Sensors,2015,1772.0
790,Ships,2015,3917.0
791,Total,2015,28484.0
792,Aircraft,2016,12394.0
793,Air defence systems,2016,2410.0
794,Armoured vehicles,2016,3880.0
795,Artillery,2016,282.0
796,Engines,2016,1544.0
797,Missiles,2016,4237.0
798,Naval weapons,2016,161.0
799,Other,2016,119.0
800,Satellites,2016,100.0
801,Sensors,2016,1628.0
802,Ships,2016,4458.0
803,Total,2016,31213.0
804,Aircraft,2017,14028.0
805,Air defence systems,2017,1741.0
806,Armoured vehicles,2017,3148.0
807,Artillery,2017,184.0
808,Engines,2017,1366.0
809,Missiles,2017,4303.0
810,Naval weapons,2017,175.0
811,Other,2017,142.0
812,Satellites,2017,100.0
813,Sensors,2017,1123.0
814,Ships,2017,5129.0
815,Total,2017,31438.0
816,Aircraft,2018,11907.0
817,Air defence systems,2018,1662.0
818,Armoured vehicles,2018,3026.0
819,Artillery,2018,352.0
820,Engines,2018,1736.0
821,Missiles,2018,4223.0
822,Naval weapons,2018,233.0
823,Other,2018,124.0
824,Satellites,2018,50.0
825,Sensors,2018,1068.0
826,Ships,2018,3425.0
827,Total,2018,27807.0
828,Aircraft,2019,14031.0
829,Air defence systems,2019,988.0
830,Armoured vehicles,2019,2807.0
831,Artillery,2019,383.0
832,Engines,2019,1944.0
833,Missiles,2019,3663.0
834,Naval weapons,2019,155.0
835,Other,2019,445.0
836,Satellites,2019,50.0
837,Sensors,2019,1124.0
838,Ships,2019,2017.0
839,Total,2019,27607.0
